Bin	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity	Tool
maxbin.036	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0	0	Maxbin
maxbin.037	p__Firmicutes (UID1022)	100	295	158	7	264	24	0	0	0	96.2	8.21	12.5	Maxbin
maxbin.038	c__Clostridia (UID1085)	35	420	196	95	191	107	24	3	0	81.17	44.59	3.05	Maxbin
maxbin.039	k__Bacteria (UID203)	5449	104	58	65	36	3	0	0	0	54.94	4.31	33.33	Maxbin
maxbin.040	k__Bacteria (UID203)	5449	103	57	13	46	33	9	2	0	80.54	58.68	0	Maxbin
maxbin.041	k__Bacteria (UID203)	5449	103	57	27	41	21	12	2	0	77.19	65.71	11.59	Maxbin
maxbin.042	k__Bacteria (UID1453)	901	171	117	95	69	6	1	0	0	34.65	6.06	55.56	Maxbin
maxbin.043	k__Bacteria (UID1453)	901	171	117	46	60	34	17	12	2	78.97	81.94	1.13	Maxbin
maxbin.044	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0	0	Maxbin
maxbin.045	f__Moraxellaceae (UID4680)	86	689	365	101	500	83	5	0	0	87.07	17.53	55.1	Maxbin
maxbin.046	k__Bacteria (UID2495)	2993	143	89	26	117	0	0	0	0	76.54	0	0	Maxbin
maxbin.047	k__Bacteria (UID203)	5449	103	57	57	29	12	5	0	0	55.18	25.44	11.11	Maxbin
maxbin.048	k__Archaea (UID2)	207	149	107	143	6	0	0	0	0	3.43	0	0	Maxbin
maxbin.049	c__Clostridia (UID1085)	35	420	196	249	161	10	0	0	0	44.49	4.34	60	Maxbin
maxbin.050	k__Bacteria (UID203)	5449	104	58	40	29	24	11	0	0	69.28	63.09	1.75	Maxbin
maxbin.051	k__Bacteria (UID203)	5449	104	58	9	46	38	6	5	0	87.77	65.74	10.47	Maxbin
maxbin.052	k__Bacteria (UID203)	5449	104	58	62	28	10	4	0	0	62.23	25	13.64	Maxbin
maxbin.053	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	5.42	0	0	Maxbin
maxbin.054	k__Archaea (UID2)	207	149	107	147	2	0	0	0	0	1.4	0	0	Maxbin
maxbin.055	k__Bacteria (UID2495)	2993	143	89	68	74	1	0	0	0	34.02	1.12	0	Maxbin
maxbin.056	k__Bacteria (UID203)	5449	104	58	92	11	1	0	0	0	15.16	0.34	0	Maxbin
maxbin.057	p__Firmicutes (UID1022)	100	295	158	3	177	113	2	0	0	98.64	42.21	5.04	Maxbin
maxbin.058	p__Bacteroidetes (UID2591)	364	303	203	105	137	53	8	0	0	66.86	24.44	1.3	Maxbin
maxbin.059	k__Bacteria (UID203)	5449	104	58	11	41	30	14	5	3	94.59	112.73	0	Maxbin
maxbin.060	k__Bacteria (UID1453)	901	171	117	129	36	5	0	1	0	17.73	2.04	0	Maxbin
maxbin.061	k__Archaea (UID2)	207	145	103	0	104	34	7	0	0	100	32.47	10.91	Maxbin
maxbin.062	c__Deltaproteobacteria (UID3216)	83	247	155	76	121	41	9	0	0	65.28	26.16	5.88	Maxbin
maxbin.063	k__Bacteria (UID2495)	2993	143	89	12	129	2	0	0	0	87.64	2.25	0	Maxbin
maxbin.064	k__Bacteria (UID203)	5449	103	57	23	43	36	1	0	0	65.79	21.05	17.95	Maxbin
maxbin.065	k__Bacteria (UID203)	5449	104	58	58	32	10	4	0	0	66.25	27.59	40.91	Maxbin
maxbin.066	k__Bacteria (UID203)	5449	104	58	47	48	7	2	0	0	44.96	11.83	0	Maxbin
maxbin.067	f__Moraxellaceae (UID4680)	86	689	365	18	655	15	1	0	0	98.76	3.29	77.78	Maxbin
maxbin.068	p__Bacteroidetes (UID2605)	350	316	210	144	123	44	4	1	0	58.77	21.43	6.45	Maxbin
maxbin.069	k__Bacteria (UID203)	5449	104	58	3	54	30	15	2	0	97.59	80.3	26.44	Maxbin
maxbin.070	k__Bacteria (UID203)	5449	103	57	62	28	9	4	0	0	58.37	24.72	0	Maxbin
maxbin.071	k__Bacteria (UID203)	5449	104	58	40	46	12	6	0	0	48.04	11.99	33.33	Maxbin
maxbin.072	f__Moraxellaceae (UID4680)	86	689	365	183	411	79	15	1	0	77.24	15.8	33.08	Maxbin
maxbin.073	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	18.97	0	0	Maxbin
maxbin.074	f__Enterobacteriaceae (UID5124)	134	1173	336	1072	100	1	0	0	0	6.83	0.04	100	Maxbin
maxbin.075	k__Bacteria (UID203)	5449	104	58	99	4	1	0	0	0	2.19	0.16	0	Maxbin
